"R_fighter","B_fighter","R_odds","B_odds","R_ev","B_ev","date","location","country","Winner","title_bout","weight_class","gender","no_of_rounds","B_current_lose_streak","B_current_win_streak","B_draw","B_avg_SIG_STR_landed","B_avg_SIG_STR_pct","B_avg_SUB_ATT","B_avg_TD_landed","B_avg_TD_pct","B_longest_win_streak","B_losses","B_total_rounds_fought","B_total_title_bouts","B_win_by_Decision_Majority","B_win_by_Decision_Split","B_win_by_Decision_Unanimous","B_win_by_KO/TKO","B_win_by_Submission","B_win_by_TKO_Doctor_Stoppage","B_wins","B_Stance","B_Height_cms","B_Reach_cms","B_Weight_lbs","R_current_lose_streak","R_current_win_streak","R_draw","R_avg_SIG_STR_landed","R_avg_SIG_STR_pct","R_avg_SUB_ATT","R_avg_TD_landed","R_avg_TD_pct","R_longest_win_streak","R_losses","R_total_rounds_fought","R_total_title_bouts","R_win_by_Decision_Majority","R_win_by_Decision_Split","R_win_by_Decision_Unanimous","R_win_by_KO/TKO","R_win_by_Submission","R_win_by_TKO_Doctor_Stoppage","R_wins","R_Stance","R_Height_cms","R_Reach_cms","R_Weight_lbs","R_age","B_age","lose_streak_dif","win_streak_dif","longest_win_streak_dif","win_dif","loss_dif","total_round_dif","total_title_bout_dif","ko_dif","sub_dif","height_dif","reach_dif","age_dif","sig_str_dif","avg_sub_att_dif","avg_td_dif","empty_arena","B_match_weightclass_rank","R_match_weightclass_rank","better_rank","finish","finish_details","finish_round","finish_round_time","total_fight_time_secs","R_kd_bout","B_kd_bout","R_sig_str_landed_bout","B_sig_str_landed_bout","R_sig_str_attempted_bout","B_sig_str_attempted_bout","R_sig_str_pct_bout","B_sig_str_pct_bout","R_tot_str_landed_bout","B_tot_str_landed_bout","R_tot_str_attempted_bout","B_tot_str_attempted_bout","R_td_landed_bout","B_td_landed_bout","R_td_attempted_bout","B_td_attempted_bout","R_td_pct_bout","B_td_pct_bout","R_sub_attempts_bout","B_sub_attempts_bout","R_pass_bout","B_pass_bout","R_rev_bout","B_rev_bout","isWeekend","days","month","year","class","rank"
"Dustin Poirier","Conor McGregor",250,-305,250,32.78688525,2021-01-23,"Abu Dhabi, Abu Dhabi, United Arab Emirates","United Arab Emirates","1",FALSE,"Lightweight","MALE",5,0,1,0,5.43,0.49,0,0.75,0.62,7,2,25,4,1,0,1,8,0,0,10,"Southpaw",175.26,187.96,155,0,1,0,5.57,0.5,1.3,1.46,0.35,5,6,62,2,1,0,6,9,3,0,19,"Southpaw",175.26,182.88,155,32,32,0,0,2,-9,-4,-37,2,-1,-3,0,5.08,0,-0.14,-1.3,-0.71,0,"Dustin Poirier","Conor McGregor",NA,NA,"Red",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Saturday","Jan","2021","R_Women's Flyweight_rank","4"
"Jessica Eye","Joanne Calderwood",-105,-117,95.23809524,85.47008547,2021-01-23,"Abu Dhabi, Abu Dhabi, United Arab Emirates","United Arab Emirates","0",FALSE,"Women's Flyweight","FEMALE",3,1,0,0,6.17,0.48,0.5,1.9,0.57,2,5,25,0,0,1,3,1,1,0,6,"Orthodox",167.64,165.1,125,1,0,0,3.65,0.36,0.6,0.4,0.45,3,7,39,1,0,2,2,1,0,0,5,"Orthodox",167.64,167.64,125,34,35,0,0,-1,1,-2,-14,-1,0,1,0,-2.54,1,2.52,-0.1,1.5,0,"Jessica Eye","Joanne Calderwood",NA,NA,"Red",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Saturday","Jan","2021","R_Women's Flyweight_rank","7"
"Marina Rodriguez","Amanda Ribas",250,-335,250,29.85074627,2021-01-23,"Abu Dhabi, Abu Dhabi, United Arab Emirates","United Arab Emirates","1",FALSE,"Women's Strawweight","FEMALE",3,0,4,0,4.71,0.45,1.9,2.28,0.54,4,0,9,0,0,0,2,0,2,0,4,"Orthodox",160.02,167.64,125,1,0,2,5.04,0.5,0.2,0.38,0.33,2,1,16,0,0,0,2,1,0,0,3,"Orthodox",167.64,165.1,115,33,27,-1,4,2,1,-1,-7,0,-1,2,-7.62,2.54,-6,-0.33,1.7,1.9,0,"Marina Rodriguez","Amanda Ribas",NA,NA,"Red",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Saturday","Jan","2021","R_Women's Flyweight_rank","10"
"Julianna Pena","Sara McMann",105,-130,105,76.92307692,2021-01-23,"Abu Dhabi, Abu Dhabi, United Arab Emirates","United Arab Emirates","1",FALSE,"Women's Bantamweight","FEMALE",3,0,1,0,2.39,0.46,0.6,4.51,0.63,5,5,34,1,0,1,5,1,3,0,10,"Orthodox",167.64,167.64,135,1,0,0,2.8,0.47,0.8,2.73,0.51,4,2,16,0,0,0,3,2,0,0,5,"Orthodox",167.64,175.26,135,31,40,-1,1,1,5,3,18,1,-1,3,0,-7.62,9,-0.41,-0.2,1.78,0,"Julianna Pena","Sara McMann",NA,NA,"Red",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Saturday","Jan","2021","R_Women's Flyweight_rank","9"
"Roxanne Modafferi","Viviane Araujo",260,-335,260,29.85074627,2021-01-20,"Abu Dhabi, Abu Dhabi, United Arab Emirates","United Arab Emirates","0",FALSE,"Women's Flyweight","FEMALE",3,0,1,0,4.77,0.5,0,1.88,0.53,2,1,12,0,0,0,2,1,0,0,3,"Orthodox",162.56,172.72,125,0,1,0,3.14,0.31,0.1,1.55,0.25,1,7,32,1,0,1,2,1,0,0,4,"Orthodox",170.18,175.26,125,38,34,0,0,1,-1,-6,-20,-1,0,0,-7.62,-2.54,-4,1.63,-0.1,0.33,1,"9","8","Red",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"Wednesday","Jan","2021","R_Women's Flyweight_rank","8"
"Valentina Shevchenko","Jennifer Maia",-1667,850,5.99880024,850,2020-11-21,"Las Vegas, Nevada, USA","USA","1",FALSE,"Women's Flyweight","FEMALE",3,0,1,0,4.08,0.39,0.2,0.23,0.5,2,2,13,0,0,0,2,0,1,0,3,"Orthodox",162.56,162.56,125,0,5,0,3.06,0.5,0.4,2.09,0.54,5,2,35,5,0,1,3,2,2,0,8,"Southpaw",165.1,167.64,125,32,32,0,-4,-3,-5,0,-22,-5,-2,-1,-2.54,-5.08,0,1.02,-0.2,-1.86,1,"3","0","Red",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Saturday","Nov","2020","R_Women's Flyweight_rank","0"
"Katlyn Chookagian","Cynthia Calvillo",205,-265,205,37.73584906,2020-11-21,"Las Vegas, Nevada, USA","USA","1",FALSE,"Women's Flyweight","FEMALE",3,0,3,1,4.21,0.44,1.3,1.97,0.46,3,1,22,0,0,0,3,0,3,0,6,"Orthodox",162.56,162.56,125,1,0,0,4.18,0.35,0.5,0.3,0.15,3,4,31,1,0,1,6,0,0,0,7,"Orthodox",175.26,172.72,125,31,33,-1,3,0,-1,-3,-9,-1,0,3,-12.7,-10.16,2,0.03,0.8,1.67,1,"4","2","Red",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Saturday","Nov","2020","R_Women's Flyweight_rank","2"
"Antonina Shevchenko","Ariane Lipski",-167,130,59.88023952,130,2020-11-21,"Las Vegas, Nevada, USA","USA","1",FALSE,"Women's Flyweight","FEMALE",3,0,2,0,3.34,0.31,0.7,0.32,1,2,2,10,0,0,0,1,0,1,0,2,"Orthodox",167.64,170.18,125,1,0,0,4.09,0.54,0.8,0.5,1,2,2,13,0,0,0,1,1,1,0,3,"Southpaw",172.72,170.18,125,36,26,-1,2,0,-1,0,-3,0,-1,0,-5.08,0,-10,-0.75,-0.1,-0.18,1,NA,"15","Red",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Saturday","Nov","2020","R_Women's Flyweight_rank","15"
"Lauren Murphy","Liliya Shakirova",-215,170,46.51162791,170,2020-10-24,"Abu Dhabi, Abu Dhabi, United Arab Emirates","United Arab Emirates","1",FALSE,"Women's Flyweight","FEMALE",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Orthodox",162.56,165.1,125,0,3,0,3.88,0.39,0,1.14,0.35,3,4,27,0,0,2,1,2,0,0,5,"Orthodox",165.1,170.18,125,37,29,0,-3,-3,-5,-4,-27,0,-2,0,-2.54,-5.08,-8,-3.88,0,-1.14,1,NA,"5","Red",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Saturday","Oct","2020","R_Women's Flyweight_rank","5"
"Katlyn Chookagian","Jessica Andrade",130,-159,130,62.89308176,2020-10-17,"Abu Dhabi, Abu Dhabi, United Arab Emirates","United Arab Emirates","0",FALSE,"Women's Flyweight","FEMALE",3,2,0,0,6.4,0.49,0.4,3.02,0.57,4,6,39,3,0,1,5,3,2,0,11,"Orthodox",154.94,157.48,115,0,1,0,4.19,0.35,0.5,0.31,0.15,3,3,30,1,0,1,6,0,0,0,7,"Orthodox",175.26,172.72,125,31,29,2,-1,1,4,3,9,2,3,2,-20.32,-15.24,-2,2.21,-0.1,2.71,1,"2","1","Red",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Saturday","Oct","2020","R_Women's Flyweight_rank","1"
"Gillian Robertson","Poliana Botelho",-215,169,46.51162791,169,2020-10-17,"Abu Dhabi, Abu Dhabi, United Arab Emirates","United Arab Emirates","1",FALSE,"Women's Flyweight","FEMALE",3,0,1,0,3.65,0.58,0,1.27,1,2,1,8,0,0,0,2,1,0,0,3,"Orthodox",172.72,170.18,115,0,1,0,1.96,0.48,1.2,3.33,0.52,2,2,12,0,0,0,0,1,4,0,5,"Orthodox",165.1,160.02,125,25,31,0,0,0,-2,-1,-4,0,0,-4,7.62,10.16,6,1.69,-1.2,-2.06,1,NA,"15","Red",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Saturday","Oct","2020","R_Women's Flyweight_rank","15"
